 10 19 20 13 22 23 16 25 26  1 11 21  4 14 24  7 17 27  2  3 12  5  6 15  8  9 18
  1 10 19  4 13 22  7 16 25  2 11 20  5 14 23  8 17 26  3 12 21  6 15 24  9 18 27
  2  1 10  5  4 13  8  7 16  3 11 19  6 14 22  9 17 25 12 21 20 15 24 23 18 27 26
 12  3  2 15  6  5 18  9  8 21 11  1 24 14  4 27 17  7 20 19 10 23 22 13 26 25 16
 21 12  3 24 15  6 27 18  9 20 11  2 23 14  5 26 17  8 19 10  1 22 13  4 25 16  7
 20 21 12 23 24 15 26 27 18 19 11  3 22 14  6 25 17  9 10  1  2 13  4  5 16  7  8
 10 19 20 13 22 23 16 25 26  1 11 21  4 14 24  7 17 27  2  3 12  5  6 15  8  9 18
  1 10 19  4 13 22  7 16 25  2 11 20  5 14 23  8 17 26  3 12 21  6 15 24  9 18 27
  2  1 10  5  4 13  8  7 16  3 11 19  6 14 22  9 17 25 12 21 20 15 24 23 18 27 26
 12  3  2 15  6  5 18  9  8 21 11  1 24 14  4 27 17  7 20 19 10 23 22 13 26 25 16
 21 12  3 24 15  6 27 18  9 20 11  2 23 14  5 26 17  8 19 10  1 22 13  4 25 16  7
 20 21 12 23 24 15 26 27 18 19 11  3 22 14  6 25 17  9 10  1  2 13  4  5 16  7  8
 27 24 15 26 18  6 17  8  9 23 21 12 25 14  3 16  7  5 19 20 11 22 10  2 13  4  1
 13 22 25  4 16 26  7  8 17 10 19 23  1 14 27  5  9 18 11 20 21  2 12 24  3  6 15
 11  2  3 20 12  6 21 24 15 10  1  5 19 14  9 23 27 18 13  4  7 22 16  8 25 26 17
  1  2 11  4 10 20 13 22 19  5  3 12  7 14 21 16 25 23  9  6 15  8 18 24 17 26 27
  1  2 11  4 10 20 13 22 19  5  3 12  7 14 21 16 25 23  9  6 15  8 18 24 17 26 27
 11  2  3 20 12  6 21 24 15 10  1  5 19 14  9 23 27 18 13  4  7 22 16  8 25 26 17
 13 22 25  4 16 26  7  8 17 10 19 23  1 14 27  5  9 18 11 20 21  2 12 24  3  6 15
 27 24 15 26 18  6 17  8  9 23 21 12 25 14  3 16  7  5 19 20 11 22 10  2 13  4  1
  5  2  3  4  1 11 13 10 19  8  6 12  7 14 21 16 22 20  9 18 15 17 27 24 25 26 23
  1  2  5 11  3  6 21 12 15 10  4  8 19 14  9 20 24 18 13 16  7 22 25 17 23 26 27
  5  2 11  4  1 10  7 13 19  6  3 12  8 14 20 16 25 22  9 15 21 18 27 24 17 26 23
 11  2  5 12  3  6 21 15  9 10  1  4 20 14  8 24 27 18 19 13  7 22 25 16 23 26 17
  1 13 25  4  7 16  5  8 17 10 19 22  2 14 26  6  9 18 11 20 23 12 21 24  3 15 27
 27 15  3 18  9  6 17  8  5 24 21 12 26 14  2 16  7  4 23 20 11 22 19 10 25 13  1
 13 16 25  4  7 17  5  8  9 10 22 26  1 14 27  2  6 18 19 20 23 11 21 24  3 12 15
 27 18 15 17  9  6  7  8  5 26 24 12 25 14  3 16  4  2 23 20 21 22 19 11 13 10  1
 27 18 15 17  9  6  7  8  5 26 24 12 25 14  3 16  4  2 23 20 21 22 19 11 13 10  1
 13 16 25  4  7 17  5  8  9 10 22 26  1 14 27  2  6 18 19 20 23 11 21 24  3 12 15
 27 15  3 18  9  6 17  8  5 24 21 12 26 14  2 16  7  4 23 20 11 22 19 10 25 13  1
  1 13 25  4  7 16  5  8 17 10 19 22  2 14 26  6  9 18 11 20 23 12 21 24  3 15 27
 11  2  5 12  3  6 21 15  9 10  1  4 20 14  8 24 27 18 19 13  7 22 25 16 23 26 17
  5  2 11  4  1 10  7 13 19  6  3 12  8 14 20 16 25 22  9 15 21 18 27 24 17 26 23
  1  2  5 11  3  6 21 12 15 10  4  8 19 14  9 20 24 18 13 16  7 22 25 17 23 26 27
  5  2  3  4  1 11 13 10 19  8  6 12  7 14 21 16 22 20  9 18 15 17 27 24 25 26 23
